Running with 16 threads
10000 416256 308453 8851 28
10000 397601 294444 8900 27
10000 405428 299117 8953 27
10000 393690 293879 8960 26
10000 409904 308703 8968 28
10000 410471 307833 8789 26
20000 883857 647451 17824 31
10000 404797 303909 9020 28
20000 850615 636487 17814 29
10000 397576 296148 8956 25
20000 888617 659903 17959 30
10000 397505 294081 8948 26
20000 921491 681738 17736 31
10000 374895 276846 9024 25
20000 861613 652035 17921 30
10000 404704 292473 8988 29
20000 879825 662185 17674 30
10000 425590 324335 8929 30
20000 880555 662785 17769 31
20000 871546 644970 17749 28
20000 862168 655258 17877 32
10000 401415 295460 8890 26
20000 834331 625417 17960 27
10000 433136 320074 8862 29
30000 1487919 1109421 26705 42
20000 870071 657207 17898 29
30000 1423155 1050082 26860 31
20000 888732 666258 18027 30
30000 1356992 1022143 26770 34
20000 861842 643414 17792 30
30000 1281389 954886 26685 30
20000 843885 627621 17789 29
30000 1345047 1023699 26618 31
20000 871566 644128 17777 28
30000 1347547 1001767 26794 30
20000 897872 680275 17756 29
30000 1466427 1094429 26861 34
20000 889836 658698 17755 31
30000 1366298 1015135 26815 30
30000 1367111 1021505 26672 33
30000 1442389 1098963 26507 32
30000 1464079 1124763 26821 34
30000 1402446 1053648 26819 32
40000 1852863 1406125 35530 30
10000 384893 288387 8910 25
40000 1853442 1409717 35828 31
10000 380122 280823 8943 24
